pktCounter,bytes,frame,base64,FRM Payload,timestamp
1,17,403210012680000001EB1D6983C197DD08,QDIQASaAAAAB6x1pg8GX3Qg=,6x1pg,2020-01-04T14:24:18.774876
2,17,403210012680010001F645520DB22CA173,QDIQASaAAQAB9kVSDbIsoXM=,9kVSD,2020-01-04T14:24:31.059124
3,17,403210012680020001DE924CC5BB1DC640,QDIQASaAAgAB3pJMxbsdxkA=,3pJMx,2020-01-04T14:24:43.350822
4,17,40321001268003000169BD65E2D0CCFE77,QDIQASaAAwABab1l4tDM/nc=,ab1l4,2020-01-04T14:24:55.638068
5,17,403210012680040001D0F21D683B5E0A19,QDIQASaABAAB0PIdaDteChk=,0PIda,2020-01-04T14:25:07.925194
