pktCounter,bytes,frame,base64,FRM Payload,timestamp
1,17,403210012680000001DC265DB109014953,QDIQASaAAAAB3CZdsQkBSVM=,3CZds,2020-01-04T15:57:49.622029
2,17,403210012680000001DA295DB2A90AF79D,QDIQASaAAAAB2ildsqkK950=,2ilds,2020-01-04T15:57:50.647836
3,17,403210012680000001D32E5DB03F53B6FF,QDIQASaAAAAB0y5dsD9Ttv8=,0y5ds,2020-01-04T15:57:51.676040
4,17,403210012680000001D32D5AB43963762A,QDIQASaAAAAB0y1atDljdio=,0y1at,2020-01-04T15:58:49.688069
5,17,403210012680000001DA2D50B8DB23DE6D,QDIQASaAAAAB2i1QuNsj3m0=,2i1Qu,2020-01-04T15:58:50.716502
6,17,403210012680000001DD2B58B5E0290832,QDIQASaAAAAB3StYteApCDI=,3StYt,2020-01-04T15:58:51.743603
