pktCounter,bytes,frame,base64,FRM Payload,timestamp
1,17,403210012680000001DF265FB7C20F1C80,QDIQASaAAAAB3yZft8IPHIA=,3yZft,2020-01-04T15:34:39.753852
2,17,403210012680010001CE7D673DF8A1AA92,QDIQASaAAQABzn1nPfihqpI=,zn1nP,2020-01-04T15:34:52.038074
3,17,403210012680020001E7A07FF3ADCE8826,QDIQASaAAgAB56B/863OiCY=,56B/8,2020-01-04T15:35:04.330211
